Transverse rank-one certificates for the 204 fields of the p = 5 census (|D_K| < 2^30)
==================================================================

D_K          #rat rk1  #rat transverse  min k-degree  criterion applies
------------------------------------------------------------------
-11203620           2               1            1  YES
-18397407           3               3            1  YES
-27960639           2               2            1  YES
-35663739           0               0            6  YES
-51213139           1               0            4  YES
-54319112           4               2            1  YES
-61040707           2               1            1  YES
-65818135           3               2            1  YES
-75949255           2               2            1  YES
-77778287           3               3            1  YES
-89017304           2               2            1  YES
-89218664           1               1            1  YES
-90903207           2               2            1  YES
-93121640           1               1            1  YES
-104545864          1               1            1  YES
-106660295          2               2            1  YES
-109909943          1               1            1  YES
-123482119          4               4            1  YES
-123779560          2               1            1  YES
-126740891          0               0            6  YES
-129063459          1               1            1  YES
-130370807          0               0            2  YES
-134005207          3               2            1  YES
-145367147          2               2            1  YES
-150535579          2               2            1  YES
-150679519          0               0            6  YES
-150752699          2               1            1  YES
-156145931          3               3            1  YES
-164995035          1               0            2  YES
-165570488          1               1            1  YES
-167094823          1               1            1  YES
-176386616          2               1            1  YES
-181738571          2               1            1  YES
-182240771          3               3            1  YES
-186243704          0               0            3  YES
-187160831          2               1            1  YES
-190572839          2               2            1  YES
-194080808          1               1            1  YES
-199674799          1               1            1  YES
-202331347          1               1            1  YES
-203145767          2               1            1  YES
-203437103          3               2            1  YES
-204909944          1               1            1  YES
-205996583          1               1            1  YES
-207666763          1               1            1  YES
-209149784          3               2            1  YES
-212229543          1               0            3  YES
-216770467          1               1            1  YES
-225826216          1               1            1  YES
-226373428          3               3            1  YES
-231112315          2               2            1  YES
-239452895          1               1            1  YES
-242963687          0               0            6  YES
-246238555          1               1            1  YES
-247127879          1               1            1  YES
-248046051          1               1            1  YES
-249407767          0               0            6  YES
-252735992          5               4            1  YES
-253425979          0               0            3  YES
-256232447          1               1            1  YES
-261286872          1               1            1  YES
-272394484          0               0            6  YES
-280557591          2               1            1  YES
-282198803          1               1            1  YES
-285889891          2               1            1  YES
-294897647          0               0            6  YES
-300240404          1               1            1  YES
-308728199          0               0            2  YES
-311069163          1               1            1  YES
-312163691          1               1            1  YES
-313065188          1               1            1  YES
-330727336          0               0            6  YES
-334692215          0               0            2  YES
-342156463          5               4            1  YES
-343576036          0               0            2  YES
-344438804          0               0            2  YES
-345369167          3               2            1  YES
-348003156          2               1            1  YES
-351044647          2               2            1  YES
-360803647          1               1            1  YES
-364780660          1               1            1  YES
-368523908          0               0            2  YES
-416349256          2               1            1  YES
-417286132          1               1            1  YES
-429818367          1               1            1  YES
-433597399          1               1            1  YES
-434084164          0               0            2  YES
-439073371          2               1            1  YES
-443585299          2               1            1  YES
-444408443          1               1            1  YES
-448376516          3               2            1  YES
-467347512          2               2            1  YES
-469835647          1               1            1  YES
-480094015          2               1            1  YES
-480642151          1               0            4  YES
-482644063          1               1            1  YES
-498607924          1               1            1  YES
-501070231          3               1            1  YES
-506335479          1               1            1  YES
-508163803          0               0            2  YES
-509504379          0               0            6  YES
-512578628          0               0            2  YES
-516168299          0               0            2  YES
-520957412          2               1            1  YES
-522401819          2               2            1  YES
-527734248          1               1            1  YES
-541579031          1               1            1  YES
-545873304          2               1            1  YES
-558181271          1               1            1  YES
-568232120          3               2            1  YES
-573379016          2               1            1  YES
-578286527          2               1            1  YES
-583175288          0               0            2  YES
-587516655          2               2            1  YES
-587585540          1               1            1  YES
-600487131          1               1            1  YES
-611642824          1               1            1  YES
-614889363          2               2            1  YES
-617556791          2               2            1  YES
-618229927          1               1            1  YES
-638094767          1               1            1  YES
-648249064          3               3            1  YES
-648716003          0               0            2  YES
-652187816          2               2            1  YES
-654932024          0               0            6  YES
-659084579          0               0            2  YES
-663884564          1               1            1  YES
-671772331          2               2            1  YES
-672002387          1               1            1  YES
-684312527          1               0            4  YES
-690429160          5               4            1  YES
-694030820          2               2            1  YES
-694740327          0               0            6  YES
-703985192          1               1            1  YES
-716214548          0               0            6  YES
-716545112          2               2            1  YES
-717538411          2               1            1  YES
-719003311          1               1            1  YES
-720658367          3               3            1  YES
-729506291          2               1            1  YES
-730579195          1               1            1  YES
-736568551          4               4            1  YES
-747498712          0               0            2  YES
-747906091          4               4            1  YES
-752704467          4               2            1  YES
-753660888          1               1            1  YES
-758811723          1               1            1  YES
-770289259          1               1            1  YES
-781922404          0               0         None  NO
-792236011          2               2            1  YES
-818819903          2               2            1  YES
-822797303          2               2            1  YES
-823763252          0               0            6  YES
-829075271          3               2            1  YES
-832956936          1               1            1  YES
-834867768          1               1            1  YES
-835199035          3               2            1  YES
-837148756          0               0            3  YES
-839189588          3               3            1  YES
-847946303          0               0            3  YES
-848798407          2               2            1  YES
-856365643          3               3            1  YES
-859104103          0               0            3  YES
-860862356          3               2            1  YES
-860938607          0               0            2  YES
-863732452          2               1            1  YES
-864855431          1               1            1  YES
-865276015          0               0            3  YES
-865288212          3               3            1  YES
-865931992          1               1            1  YES
-873927415          1               1            1  YES
-876422059          1               0            4  YES
-880112408          1               1            1  YES
-880342436          1               1            1  YES
-881852344          4               4            1  YES
-882321235          0               0            6  YES
-884383779          2               2            1  YES
-890032871          2               1            1  YES
-912814943          2               2            1  YES
-930871220          0               0            6  YES
-937521204          2               2            1  YES
